[I][2026-03-25 16:40:57.436 +08:00][22816][realx_logger.h:25][OnLogMessage] libjingle: [Network][I][044:840][22816](frame_time_window.cc:850): ===PROFILE===

[I][2026-03-25 16:40:57.436 +08:00][22816][realx_logger.h:25][OnLogMessage] libjingle: [Network][I][044:840][22816](frame_time_window.cc:852): [event_context]

[I][2026-03-25 16:40:57.436 +08:00][22816][realx_logger.h:25][OnLogMessage] libjingle: [Network][I][044:840][22816](frame_time_window.cc:853): codec=h264 resolution=1280x578 fps_nominal=30 rtx_enabled=1 fec_enabled=1

[I][2026-03-25 16:40:57.436 +08:00][22816][realx_logger.h:25][OnLogMessage] libjingle: [Network][I][044:840][22816](frame_time_window.cc:859): stall_rtp_ts=2301897544 stall_gap_ms=142 stall_report_size_bytes=0 nack_sent=0 frame_count_in_window=12

[I][2026-03-25 16:40:57.436 +08:00][22816][realx_logger.h:25][OnLogMessage] libjingle: [Network][I][044:840][22816](frame_time_window.cc:868): stall_time_utc_ms=1771955672506 stall_time_utc=2026-02-24 17:54:32.506

[I][2026-03-25 16:40:57.436 +08:00][22816][realx_logger.h:25][OnLogMessage] libjingle: [Network][I][044:840][22816](frame_time_window.cc:870): window_rtp_ts=[2301867664,2301900514] window_time_ms=[3646875113,3646876220]

[I][2026-03-25 16:40:57.436 +08:00][22816][realx_logger.h:25][OnLogMessage] libjingle: [Network][I][044:840][22816](frame_time_window.cc:875): 

[I][2026-03-25 16:40:57.436 +08:00][22816][realx_logger.h:25][OnLogMessage] libjingle: [Network][I][044:840][22816](frame_time_window.cc:876): [timeline_digest]

[I][2026-03-25 16:40:57.436 +08:00][22816][realx_logger.h:25][OnLogMessage] libjingle: [Network][I][044:840][22816](frame_time_window.cc:921): 3646875212 captured, RTP TS: 2301867664, Frame Size: 5095, PREV_GAP -1, Encode 5, Asemble2Decode 18, Decode 3, DEC_GAP -1

[I][2026-03-25 16:40:57.436 +08:00][22816][realx_logger.h:25][OnLogMessage] libjingle: [Network][I][044:840][22816](frame_time_window.cc:699): P: seq 5736, size 1091, send_delta 0, recv_delta lost

[I][2026-03-25 16:40:57.436 +08:00][22816][realx_logger.h:25][OnLogMessage] libjingle: [Network][I][044:840][22816](frame_time_window.cc:699):  - R: seq 28450, size 1093, send_delta 156, recv_delta 244

[I][2026-03-25 16:40:57.436 +08:00][22816][realx_logger.h:25][OnLogMessage] libjingle: [Network][I][044:840][22816](frame_time_window.cc:699):  - R: seq 28478, size 1093, send_delta 236, recv_delta 533

[I][2026-03-25 16:40:57.436 +08:00][22816][realx_logger.h:25][OnLogMessage] libjingle: [Network][I][044:840][22816](frame_time_window.cc:699):  - R: seq 28506, size 1093, send_delta 237, recv_delta 635

[I][2026-03-25 16:40:57.436 +08:00][22816][realx_logger.h:25][OnLogMessage] libjingle: [Network][I][044:840][22816](frame_time_window.cc:699):  - R: seq 28522, size 1093, send_delta 316, recv_delta 758

[I][2026-03-25 16:40:57.436 +08:00][22816][realx_logger.h:25][OnLogMessage] libjingle: [Network][I][044:840][22816](frame_time_window.cc:699):  - R: seq 28538, size 1093, send_delta 317, recv_delta 815

[I][2026-03-25 16:40:57.436 +08:00][22816][realx_logger.h:25][OnLogMessage] libjingle: [Network][I][044:840][22816](frame_time_window.cc:699): P: seq 5737, size 1091, send_delta 0, recv_delta lost

[I][2026-03-25 16:40:57.436 +08:00][22816][realx_logger.h:25][OnLogMessage] libjingle: [Network][I][044:840][22816](frame_time_window.cc:699):  - R: seq 28451, size 1093, send_delta 156, recv_delta 250

[I][2026-03-25 16:40:57.436 +08:00][22816][realx_logger.h:25][OnLogMessage] libjingle: [Network][I][044:840][22816](frame_time_window.cc:699):  - R: seq 28479, size 1093, send_delta 236, recv_delta 540

[I][2026-03-25 16:40:57.436 +08:00][22816][realx_logger.h:25][OnLogMessage] libjingle: [Network][I][044:840][22816](frame_time_window.cc:699):  - R: seq 28507, size 1093, send_delta 237, recv_delta 646

[I][2026-03-25 16:40:57.436 +08:00][22816][realx_logger.h:25][OnLogMessage] libjingle: [Network][I][044:840][22816](frame_time_window.cc:699):  - R: seq 28523, size 1093, send_delta 316, recv_delta 761
